num,dataset,variable group,Variable Type (SAS),core,variable,label,whereClause,dataType,length,fractionDigits,sasFieldName,codeList,displayFormat,role,mandatory,comment,method,methodName,note,lengthAsData,lengthAsCodeList,originType,originDescription,crfPages,VARIABLE_CODELIST
107,ADAE_not_used,Original or Prior MedDRA Coding Variables,Char,Perm,HLTORGy,HLT in Original Dictionary y,,,,,,,,,,,,,,,,,,,
108,ADAE_not_used,Original or Prior MedDRA Coding Variables,Char,Perm,LLTORGy,LLT in Original Dictionary y,,,,,,,,,,,,,,,,,,,
109,ADAE_not_used,Original or Prior MedDRA Coding Variables,Char,Perm,LLTNORGy,LLT Code in Original Dictionary y,,,,,,,,,,,,,,,,,,,
110,ADAE_not_used,Descriptive Variables,Char,Perm,AESEVN,Severity/Intensity (N),,,,,,,,,,,,,,,,,,,
111,ADAE_not_used,Descriptive Variables,Char,Perm,ASEVN,Analysis Severity/Intensity (N),,,,,,,,,,,,,,,,,,,
112,ADAE_not_used,Standardized MedDRA Query Variables,Char,Cond,SMQzzSC,SMQ zz Scope,,,,,,,,,,,,,,,,,,,
113,ADAE_not_used,Standardized MedDRA Query Variables,Char,Perm,SMQzzSCN,SMQ zz Scope (N),,,,,,,,,,,,,,,,,,,
1,ADEG,Identifier Variables for BDS Datasets,Char,Req,STUDYID,Study Identifier,,text,11,,STUDYID,Study Identifier,,,Yes,,,,,,,Predecessor,ADSL.STUDYID,,
2,ADEG,Identifier Variables for BDS Datasets,Char,Req,USUBJID,Unique Subject Identifier,,text,18,,USUBJID,,,,Yes,,,,,,,Predecessor,ADSL.USUBJID,,
3,ADEG,ADSL Identifier Variables,Char,Req,SUBJID,Subject Identifier for the Study,,text,3,,SUBJID,,,,No,,,,,,,Predecessor,ADSL.SUBJID,,
4,ADEG,Identifier Variables for BDS Datasets,Char,Perm,SITEID,Study Site Identifier,,text,2,,SITEID,Study Site Identifier,,,No,,,,,,,Predecessor,ADSL.SITEID,,
5,ADEG,ADSL Subject Demographics Variables,Num,Req,AGE,Age,,integer,2,,AGE,,,,No,,,,,,,Predecessor,ADSL.AGE,,
6,ADEG,ADSL Subject Demographics Variables,Char,Req,AGEU,Age Units,,text,5,,AGEU,Age Units,,,No,,,,,,,Predecessor,ADSL.AGEU,,YEARS
7,ADEG,ADSL Subject Demographics Variables,Char,Req,SEX,Sex,,text,1,,SEX,Sex,,,No,,,,,,,Predecessor,ADSL.SEX,,M@F
8,ADEG,ADSL Subject Demographics Variables,Char,Req,RACE,Race,,text,41,,RACE,Race,,,No,,,,,,,Predecessor,ADSL.RACE,,WHITE@BLACK OR AFRICAN AMERICAN@OTHER@ASIAN
9,ADEG,ADSL Population Indicator Variables,Char,Cond,SAFFL,Safety Population Flag,,text,1,,SAFFL,No Yes Response - N/Y,,,Yes,,,,,,,Predecessor,ADSL.SAFFL,,Y
10,ADEG,ADSL Population Indicator Variables (Sponsor-Defined),Char,,PKFL,Pharmacokinetic Analysis Population Flag,,text,1,,PKFL,No Yes Response - N/Y,,,No,,,,,,,Predecessor,ADSL.PKFL,,Y
11,ADEG,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDT,Date of First Exposure to Treatment,,integer,5,,TRTSDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTSDT,,
12,ADEG,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSTM,Time of First Exposure to Treatment,,integer,5,,TRTSTM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTSTM,,
13,ADEG,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDTM,Datetime of First Exposure to Treatment,,integer,10,,TRTSDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTSDTM,,
14,ADEG,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDT,Date of Last Exposure to Treatment,,integer,5,,TRTEDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTEDT,,
15,ADEG,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTETM,Time of Last Exposure to Treatment,,integer,5,,TRTETM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTETM,,
16,ADEG,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDTM,Datetime of Last Exposure to Treatment,,integer,10,,TRTEDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTEDTM,,
17,ADEG,Record-Level Treatment Variables for BDS Datasets ,Char,Cond,TRTP,Planned Treatment,,text,30,,TRTP,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01P,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@100 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
18,ADEG,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTPG1,Planned Pooled Treatment 1,,text,8,,TRTPG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01PG1,,Placebo@MEDI0618
19,ADEG,Record-Level Treatment Variables for BDS Datasets ,Char,,TRTA,Actual Treatment,,text,30,,TRTA,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01A,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@80 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
20,ADEG,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTAG1,Actual Pooled Treatment 1,,text,8,,TRTAG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01AG1,,Placebo@MEDI0618
21,ADEG,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORT,Cohort ,,text,23,,COHORT,Cohort,,,No,,,,,,,Predecessor,ADSL.COHORT,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5 (INTRAVENOUS)@COHORT 6 (INTRAVENOUS)@COHORT 7 (INTRAVENOUS)@COHORT 8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)
22,ADEG,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG1,Pooled Cohort Group 1,,text,24,,COHORTG1,Pooled Cohort Group 1,,,No,,,,,,,Predecessor,ADSL.COHORTG1,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5-8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)
23,ADEG,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG2,Pooled Cohort Group 2,,text,24,,COHORTG2,Pooled Cohort Group 2,,,No,,,,,,,Predecessor,ADSL.COHORTG2,,COHORT 1-8 (INTRAVENOUS)
24,ADEG,Sponsor-defined,Char,,ADAPOSFL,ADA Positive at any Visit,,text,1,,ADAPOSFL,No Yes Response - N/Y,,,No,,,,,,,Predecessor,ADSL.ADAPOSFL,,N@Y
25,ADEG,Identifier Variables for BDS Datasets,Num,Perm,ASEQ,Analysis Sequence Number,,integer,3,,ASEQ,,,,No,,,,,,,Assigned,,,
26,ADEG,Timing Variables for BDS Datasets,Num,Perm,ADT,Analysis Date,,integer,5,,ADT,,YYMMDD10.,,No,,Date part of EG.EGDTC converted to numeric SAS date,MT.ADEG.ADT,,,,Derived,,,
27,ADEG,Timing Variables for BDS Datasets,Num,Perm,ATM,Analysis Time,,integer,5,,ATM,,TIME5.,,No,,Time part of EG.EGDTC converted to numeric SAS time,MT.ADEG.ATM,,,,Derived,,,
28,ADEG,Timing Variables for BDS Datasets,Num,Perm,ADTM,Analysis Datetime,,integer,10,,ADTM,,E8601DT16.,,No,,EG.EGDTC converted to numeric SAS date,MT.ADEG.ADTM,,,,Derived,,,
29,ADEG,Timing Variables for BDS Datasets,Num,Perm,ADY,Analysis Relative Day ,,integer,2,,ADY,,,,No,,If ADT >= TRTSDT then ADY = ADT - TRTSDT + 1. Else if ADT<TRTSDT then ADY = ADT - TRTSDT,MT.ADEG.ADY,,,,Derived,,,
30,ADEG,Timing Variables for BDS Datasets,Char,Cond,AVISIT,Analysis Visit ,,text,21,,AVISIT,Analysis Visit - ADEG,,,No,,"If ADTM <= TRTSDTM then AVISIT = ""Baseline"". Else if EG.VISIT=""TREATMENT"" then AVISIT = ""Treatment"". Else AVISIT = ""DAY XX"" with XX being the prescribed study day of EG.VISIT",MT.ADEG.AVISIT,,,,Derived,,,Baseline@Treatment@Day 8@Post-Baseline Maximum@Day 15@Day 29@Day 57@Day 85
31,ADEG,Timing Variables for BDS Datasets,Num,Perm,AVISITN,Analysis Visit (N),,integer,3,,AVISITN,Analysis Visit (N) - ADEG,,,No,Numeric code for AVISITN,,,,,,Assigned,,,
32,ADEG,Timing Variables for BDS Datasets,Char,Cond,ATPT,Analysis Timepoint,,text,8,,ATPT,Analysis Timepoint - ADEG,,,Yes,,"If VISITNUM=1 then ATPT = ""Pre-dose"". Else if EG.EGTPT=""60 MIN"" then ATPT = ""1 hour"". Else if EG.EGTPT ^= MISSING then ATPT = lowcase(EG.EGTPT). ",MT.ADEG.ATPT,,,,Derived,,,Pre-dose@30 min@1 hour@2 hours@4 hours@8 hours@12 hours@24 hours@48 hours
33,ADEG,Timing Variables for BDS Datasets,Num,Perm,ATPTN,Analysis Timepoint (N),,integer,5,,ATPTN,Analysis Timepoint (N) - ADEG,,,No,Numeric code for ATPT,,,,,,Assigned,,,
34,ADEG,Timing Variables for BDS Datasets,Char,Perm,ATPTREF,Analysis Timepoint Reference,,text,17,,ATPTREF,Analysis Timepoint Reference,,,No,,"If EG.EGTPTREF=""START OF EXPOSURE TO STUDY DRUG"" or VISITNUM=1  then ATPTREF = ""Start of exposure"". Else if EG.EGTPTREF=""END OF EXPOSURE TO STUDY DRUG"" then ATPTREF = ""End of exposure""",MT.ADEG.ATPTREF,,,,Derived,,,Start of exposure@End of exposure
35,ADEG,Timing Variables for BDS Datasets (Sponsor-Defined),Num,,ARFTDTM,Anchor Timepoint for Analysis Rel. Time,,integer,10,,ARFTDTM,,E8601DT16.,,No,,"If EG.EGTPTREF=""START OF TREATMENT"" or VISITNUM=1 then ARFTDTM = TRTSDTM. Else if EG.EGTPTREF=""END OF TREATMENT"" then ARFTDTM = TRTEDTM",MT.ADEG.ARFTDTM,,,,Derived,,,
36,ADEG,Timing Variables for BDS Datasets,Num,Perm,ARELTM,Analysis Relative Time,,integer,5,,ARELTM,,TIME5.,,No,,ARELTM = ADTM - ARFTDTM,MT.ADEG.ARELTM,,,,Derived,,,
37,ADEG,Timing Variables for BDS Datasets,Char,Perm,ARELTMU,Analysis Relative Time Unit,,text,5,,ARELTMU,Analysis Relative Time Unit,,,No,HH:MM,,,,,,Assigned,,,HH:MM
38,ADEG,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAM,Parameter ,,text,54,,PARAM,Parameters - ADEG,,,Yes,Concatenation of EG.EGTEST and EG.EGSTRESU,,,,,,Assigned,,,"PR Interval, Aggregate (msec)@QRS Duration, Aggregate (msec)@RR Interval, Aggregate (msec)@QT Interval, Aggregate (msec)@Heart rate (bpm)@PR Interval - Mean of Triplicates (msec)@QRS Interval - Mean of Triplicates (msec)@RR Interval - Mean of Triplicates (msec)@QT Interval - Mean of Triplicates (msec)@QTcF – Fridericia's Correction Formula (ms)"
39,ADEG,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAMCD,Parameter Code,,text,7,,PARAMCD,Parameter Code - ADEG,,,Yes,EG.EGTESTCD,,,,,,Assigned,,,PRAG@QRSAG@RRAG@QTAG@HR@PRMEAN@QRSMEAN@RRMEAN@QTMEAN@QTCF
40,ADEG,Analysis Parameter Variables for BDS Datasets,Num,Perm,PARAMN,Parameter (N),,integer,2,,PARAMN,Parameter (N) - ADEG,,,No,,,,,,,Assigned,,,
41,ADEG,Analysis Parameter Variables for BDS Datasets,Char,Perm,PARCAT1,Parameter Category 1,,text,22,,PARCAT1,Parameter Category 1 - ADEG,,,No,,,,,,,Assigned,,,TRACEABILITY PARAMETER@ANALYSIS PARAMETER
42,ADEG,Analysis Parameter Variables for BDS Datasets,Char,Perm,PARAMTYP,Parameter Type,,text,7,,PARAMTYP,Parameter Type ,,,No,,,,,,,Assigned,,,DERIVED
43,ADEG,Analysis Parameter Variables for BDS Datasets,Num,Cond,AVAL,Analysis Value,,float,12,9,AVAL,,6.1,,No,,,MT.ADEG.AVAL,,,,Derived,,,
45,ADEG,Analysis Parameter Variables for BDS Datasets,Char,Perm,AVALCAT1,Analysis Value Category 1,,text,22,,AVALCAT1,Analysis Value Category 1 - ADEG,,,No,,,MT.ADEG.AVALCAT1,,,,Derived,,,<50 bpm@>=50 and <=100 bpm@<=220 ms@<=115 ms@<=450 ms@>450 and <=480 ms
46,ADEG,Analysis Parameter Variables for BDS Datasets,Char,Perm,AVALCAT2,Analysis Value Category 2,,text,21,,AVALCAT2,Analysis Value Category 2 - ADEG,,,No,,,MT.ADEG.AVALCAT2,,,,Derived,,,>=110 and <=220 ms@>=75 and <=115 ms@<110 ms@<75 ms
47,ADEG,Analysis Parameter Variables for BDS Datasets,Num,Cond,BASE,Baseline Value,,float,12,9,BASE,,6.1,,No,,"If AVISIT ne ""BASELINE"" or ABLFL=""Y"" then BASE = AVAL of the record with ABLFL=""Y"" within the subject and parameter",MT.ADEG.BASE,,,,Derived,,,
48,ADEG,Analysis Parameter Variables for BDS Datasets,Num,Perm,CHG,Change from Baseline,,float,12,10,CHG,,6.1,,No,,AVAL - BASE,MT.ADEG.CHG,,,,Derived,,,
49,ADEG,Analysis Parameter Variables for BDS Datasets,Char,Perm,CHGCAT1,Change from Baseline Category 1,,text,18,,CHGCAT1,Change from Baseline Category 1 - ADEG,,,No,,,MT.ADEG.CHGCAT1,,,,Derived,,,<=30 ms@>30 and <=60 ms
50,ADEG,Toxicity and Range Variables for BDS Datasets,Char,Perm,ANRIND,Analysis Reference Range Indicator,,text,6,,ANRIND,Reference Range Indicator,,,No,,"If ANRLO <= AVAL <=ANRHI then ANRIND = ""Normal"". Else if AVAL < ANRLO then ANRIND = ""Low"". Else if AVAL > ANRHI then ANRIND = ""High""",MT.ADEG.ANRIND,,,,Derived,,,LOW@NORMAL@HIGH
51,ADEG,Toxicity and Range Variables for BDS Datasets,Num,Perm,ANRLO,Analysis Normal Range Lower Limit,,integer,3,,ANRLO,,,,No,See SAP section XX,,,,,,Assigned,,,
52,ADEG,Toxicity and Range Variables for BDS Datasets,Num,Perm,ANRHI,Analysis Normal Range Upper Limit,,integer,4,,ANRHI,Reference Range Indicator PCI - ADEG,,,No,See SAP section YY,,,,,,Assigned,,,
53,ADEG,Toxicity and Range Variables for BDS Datasets,Char,Perm,A1IND,Analysis Range 1 Indicator,,text,10,,A1IND,,,,No,,,MT.ADEG.A1IND,,,,Derived,,,NOT PCI@PCI - LOW@PCI - HIGH
54,ADEG,Toxicity and Range Variables for BDS Datasets,Num,Cond,A1LO,Analysis Range 1 Lower Limit,,integer,3,,A1LO,,,,No,,,,,,,Assigned,,,
55,ADEG,Toxicity and Range Variables for BDS Datasets,Num,Cond,A1HI,Analysis Range 1 Upper Limit,,integer,4,,A1HI,,,,No,,,,,,,Assigned,,,
56,ADEG,Toxicity and Range Variables for BDS Datasets,Char,Perm,A2IND,Analysis Range 2 Indicator,,text,7,,A2IND,Reference Range Indicator PCI - ADEG,,,No,,,MT.ADEG.A2IND,,,,Derived,,,NOT PCI
57,ADEG,Toxicity and Range Variables for BDS Datasets,Num,Cond,A2LO,Analysis Range 2 Lower Limit,,integer,3,,A2LO,,,,No,,,,,,,Assigned,,,
58,ADEG,Toxicity and Range Variables for BDS Datasets,Num,Cond,A2HI,Analysis Range 2 Upper Limit,,integer,3,,A2HI,,,,No,,,,,,,Assigned,,,
59,ADEG,Flag Variables for BDS Datasets,Char,Cond,ABLFL,Baseline Record Flag,,text,1,,ABLFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the record with AVISIT=""Baseline"" and ARELTM closest to 0 within the subject and parameter",MT.ADEG.ABLFL,,,,Derived,,,Y
60,ADEG,Analysis Criterion y,Char,Perm,CRIT1,Analysis Criterion 1,,text,38,,CRIT1,Analysis Criterion 1 - ADEG,,,No,,,,,,,Assigned,,,PCI increase (>60 msec)@PCI increase (>30 msec)@PCI increase (>60 ms)
61,ADEG,Criterion y Evaluation Result Flag,Char,Cond,CRIT1FL,Criterion 1 Evaluation Result Flag,,text,1,,CRIT1FL,No Yes Response - Y,,,No,,,MT.ADEG.CRIT1FL,,,,Derived,,,N
62,ADEG,Analysis Criterion y,Char,Perm,CRIT2,Analysis Criterion 2,,text,23,,CRIT2,Analysis Criterion 2 - ADEG,,,No,,,,,,,Assigned,,,PCI value (outside AZ extended range)@PCI value (outside AZ extended range or PCI increase)
63,ADEG,Criterion y Evaluation Result Flag,Char,Cond,CRIT2FL,Criterion 2 Evaluation Result Flag,,text,1,,CRIT2FL,No Yes Response - Y,,,No,,,MT.ADEG.CRIT2FL,,,,Derived,,,N
64,ADEG,Analysis Criterion y,Char,Perm,CRIT3,Analysis Criterion 3,,text,53,,CRIT3,Analysis Criterion 3 - ADEG,,,No,,,,,,,Assigned,,,Treatment-emergent increase (>40 msec)@Treatment-emergent increase (>15 msec)@Treatment-emergent increase (>30 msec)@Treatment-emergent increase (>30 ms)
65,ADEG,Criterion y Evaluation Result Flag,Char,Cond,CRIT3FL,Criterion 3 Evaluation Result Flag,,text,1,,CRIT3FL,No Yes Response - Y,,,No,,,MT.ADEG.CRIT3FL,,,,Derived,,,N@Y
66,ADEG,Analysis Parameter Criteria Variables for BDS Datasets,Char,Perm,MCRIT1,Analysis Multi-Response Criterion 1,,text,46,,MCRIT1,Analysis Multi-Response Criterion 1 - ADEG,,,No,,,,,,,Assigned,,,Post-baseline value and increase from baseline
67,ADEG,Analysis Parameter Criteria Variables for BDS Datasets,Char,Cond,MCRIT1ML,Multi-Response Criterion 1 Evaluation,,text,28,,MCRIT1ML,Multi-Response Criterion 1 Evaluation - ADEG,,,No,,,MT.ADEG.MCRIT1ML,,,,Derived,,,<=450 ms or increase <=30 ms
68,ADEG,Analysis Descriptor Variables for BDS Datasets,Char,Cond,DTYPE,Derivation Type,,text,7,,DTYPE,Derivation Type - ADEG,,,No,,"Set to ""MAXIMUM"" if AVISIT = ""Maximum post-baseline value""",,,,,Assigned,,,MAXIMUM
70,ADEG,Datapoint Traceability Variables,Char,Perm,SRCDOM,Source Data,,text,4,,SRCDOM,Source Data - ADEG,,,No,,,,,,,Assigned,,,EG@ADEQ
72,ADEG,Datapoint Traceability Variables,Char,Perm,SRCVAR,Source Variable,,text,8,,SRCVAR,Source Variable - ADEG,,,No,,,,,,,Assigned,,,EGSTRESN@AVAL
71,ADEG,Datapoint Traceability Variables,Num,Perm,SRCSEQ,Source Sequence Number,,integer,3,,SRCSEQ,,,,No,,,MT.ADEQ.SRCSEQ,,,,Derived,,,
73,ADEG,SDTM Variable for Traceability,Char,,VISIT,Visit Name,,text,18,,VISIT,,,,No,,,,,,,Predecessor,EG.VISIT,,TREATMENT@FINAL VISIT DAY 8@FOLLOW-UP DAY 8@FINAL VISIT DAY 15@FINAL VISIT DAY 29@FOLLOW-UP DAY 29@FINAL VISIT DAY 57@FINAL VISIT DAY 85
74,ADEG,SDTM Variable for Traceability,Num,,VISITNUM,Visit Number,,float,3,1,VISITNUM,,,,No,,,,,,,Predecessor,EG.VISITNUM,,
69,ADEG_not_used,Flag Variables for BDS Datasets,Char,Cond,ANL01FL,Analysis Flag 01,,text,1,,ANL01FL,No Yes Response - Y subset,,,No,,"If AVISIT NE ""BASELINE"" then ANL01FL=""Y"". Else if AVISIT=""BASELINE"" then ANL01FL is set to ""Y"" for the record with ARELTM1 closest to 0 within the subject and parameter",MT.ADEG.ANL01FL,,TRUE,,Derived,,,Y
1,ADINJREC,Identifier Variables for BDS Datasets,Char,Req,STUDYID,Study Identifier,,text,11,,STUDYID,Study Identifier,,,Yes,,,,,TRUE,,Predecessor,ADSL.STUDYID,,
2,ADINJREC,Identifier Variables for BDS Datasets,Char,Req,USUBJID,Unique Subject Identifier,,text,18,,USUBJID,,,,Yes,,,,,TRUE,,Predecessor,ADSL.USUBJID,,
3,ADINJREC,ADSL Identifier Variables,Char,Req,SUBJID,Subject Identifier for the Study,,text,3,,SUBJID,,,,No,,,,,TRUE,,Predecessor,ADSL.SUBJID,,
4,ADINJREC,Identifier Variables for BDS Datasets,Char,Perm,SITEID,Study Site Identifier,,text,2,,SITEID,Study Site Identifier,,,No,,,,,,,Predecessor,ADSL.SITEID,,
5,ADINJREC,ADSL Subject Demographics Variables,Num,Req,AGE,Age,,integer,2,,AGE,,,,No,,,,,,,Predecessor,ADSL.AGE,,
6,ADINJREC,ADSL Subject Demographics Variables,Char,Req,AGEU,Age Units,,text,5,,AGEU,Age Units,,,No,,,,,,,Predecessor,ADSL.AGEU,,YEARS
7,ADINJREC,ADSL Subject Demographics Variables,Char,Req,SEX,Sex,,text,1,,SEX,Sex,,,No,,,,,,,Predecessor,ADSL.SEX,,M@F
8,ADINJREC,ADSL Subject Demographics Variables,Char,Req,RACE,Race,,text,41,,RACE,Race,,,No,,,,,,,Predecessor,ADSL.RACE,,WHITE@BLACK OR AFRICAN AMERICAN@OTHER@ASIAN
9,ADINJREC,ADSL Population Indicator Variables,Char,Cond,SAFFL,Safety Population Flag,,text,1,,SAFFL,No Yes Response - N/Y,,,Yes,,,,,,,Predecessor,ADSL.SAFFL,,Y@N
10,ADINJREC,ADSL Population Indicator Variables (Sponsor-Defined),Char,,PKFL,Pharmacokinetic Analysis Population Flag,,text,1,,PKFL,No Yes Response - N/Y,,,No,,,,,,,Predecessor,ADSL.PKFL,,Y
11,ADINJREC,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDT,Date of First Exposure to Treatment,,integer,5,,TRTSDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTSDT,,
12,ADINJREC,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSTM,Time of First Exposure to Treatment,,integer,5,,TRTSTM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTSTM,,
13,ADINJREC,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDTM,Datetime of First Exposure to Treatment,,integer,10,,TRTSDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTSDTM,,
14,ADINJREC,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDT,Date of Last Exposure to Treatment,,integer,5,,TRTEDT,,YYMMDD10.,,No,,,,,,,Predecessor,ADSL.TRTEDT,,
15,ADINJREC,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTETM,Time of Last Exposure to Treatment,,integer,5,,TRTETM,,TIME5.,,No,,,,,,,Predecessor,ADSL.TRTETM,,
16,ADINJREC,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDTM,Datetime of Last Exposure to Treatment,,integer,10,,TRTEDTM,,E8601DT16.,,No,,,,,,,Predecessor,ADSL.TRTEDTM,,
17,ADINJREC,Record-Level Treatment Variables for BDS Datasets ,Char,Cond,TRTP,Planned Treatment,,text,30,,TRTP,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01P,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@100 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)@IV 0.45 mg MEDI0618@IV 1.35 mg MEDI0618@IV 4 mg MEDI0618@IV 12 mg MEDI0618@IV 40 mg MEDI0618@IV 100 mg MEDI0618@IV 200 mg MEDI0618
18,ADINJREC,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTPG1,Planned Pooled Treatment 1,,text,8,,TRTPG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01PG1,,Placebo@MEDI0618
19,ADINJREC,Record-Level Treatment Variables for BDS Datasets ,Char,,TRTA,Actual Treatment,,text,30,,TRTA,Planned/Actual Treatment ,,,No,,,,,,,Predecessor,ADSL.TRT01A,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@80 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
20,ADINJREC,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTAG1,Actual Pooled Treatment 1,,text,8,,TRTAG1,Planned/Actual Pooled Treatment,,,No,,,,,,,Predecessor,ADSL.TRT01AG1,,Placebo@MEDI0618
21,ADINJREC,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORT,Cohort ,,text,23,,COHORT,Cohort,,,No,,,,,,,Predecessor,ADSL.COHORT,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5 (INTRAVENOUS)@COHORT 6 (INTRAVENOUS)@COHORT 7 (INTRAVENOUS)@COHORT 8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)@COHORT2@COHORT3@COHORT4@COHORT5@COHORT6@COHORT7@COHORT8
22,ADINJREC,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG1,Pooled Cohort Group 1,,text,24,,COHORTG1,Pooled Cohort Group 1,,,No,,,,,,,Predecessor,ADSL.COHORTG1,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5-8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)@COHORT2@COHORT3@COHORT4@COHORT 5-8
23,ADINJREC,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG2,Pooled Cohort Group 2,,text,24,,COHORTG2,Pooled Cohort Group 2,,,No,,,,,,,Predecessor,ADSL.COHORTG2,,COHORT 1-8 (INTRAVENOUS)@COHORT 1-8
43,ADINJREC,Timing Variables for BDS Datasets,Char,Cond,AVISIT,Analysis Visit ,,text,9,,AVISIT,Analysis Visit - ADINJREC,,,No,,,,,,,Derived,,,Baseline@Treatment@Day 8@ENDPOINT@Day 15@Day 22@Day 29@Day 43@Day 57@Day 71@Day 85@Unscheduled 99.00@Unscheduled 2.01
104,ADINJREC,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAM,Parameter ,,text,31,,PARAM,Parameter - ADINJREC,,,Yes,,,,,,,Assigned,,,Any Injection Site Reaction@Type of Injection Site Reaction@Diastolic Blood Pressure (mmHg)@Pulse Rate (beats/min)@Respiratory Rate (breaths/min)@Systolic Blood Pressure (mmHg)@Temperature (C)
105,ADINJREC,Analysis Parameter Variables for BDS Datasets,Char,Req,PARAMCD,Parameter Code,,text,8,,PARAMCD,Parameter Code - ADINJREC,,,Yes,,,,,,,Assigned,,,ANYINJRC@TPINJREC@DIABP@PULSE@RESP@SYSBP@TEMP
